#This data is the schedule for 788 games of the 2006 National 
#Collegiate Athletic Association (NCAA) Football Bowl Subdivision.
#Nodes:180
#Edges:788
#FromNodeId	ToNodeID
1	2
2	1
1	3
3	1
1	4
4	1
1	5
5	1
6	7
7	6
6	8
8	6
6	9
9	6
6	10
10	6
6	11
11	6
12	13
13	12
12	14
14	12
12	15
15	12
12	16
16	12
12	17
17	12
12	18
18	12
12	19
19	12
20	21
21	20
20	22
22	20
20	23
23	20
20	24
24	20
20	25
25	20
20	26
26	20
27	28
28	27
27	29
29	27
27	30
30	27
27	23
23	27
27	31
31	27
27	24
24	27
27	20
20	27
27	13
13	27
32	33
33	32
32	14
14	32
32	12
12	32
32	34
34	32
32	35
35	32
32	17
17	32
32	15
15	32
32	36
36	32
32	37
37	32
32	38
38	32
39	5
5	39
39	18
18	39
39	15
15	39
39	40
40	39
39	8
8	39
39	41
41	39
5	42
42	5
5	43
43	5
5	44
44	5
34	24
24	34
34	38
38	34
34	45
45	34
34	11
11	34
34	36
36	34
34	46
46	34
34	47
47	34
34	17
17	34
34	39
39	34
34	12
12	34
48	49
49	48
48	11
11	48
48	9
9	48
48	50
50	48
48	42
42	48
43	51
51	43
43	52
52	43
43	30
30	43
43	53
53	43
54	55
55	54
54	56
56	54
54	2
2	54
54	13
13	54
54	57
57	54
54	58
58	54
54	59
59	54
54	60
60	54
54	61
61	54
54	62
62	54
54	33
33	54
54	29
29	54
54	63
63	54
64	65
65	64
64	66
66	64
64	21
21	64
64	67
67	64
64	68
68	64
64	69
69	64
64	11
11	64
64	16
16	64
64	70
70	64
10	11
11	10
10	18
18	10
10	71
71	10
10	49
49	10
21	72
72	21
21	33
33	21
21	73
73	21
21	74
74	21
21	75
75	21
21	1
1	21
21	4
4	21
21	2
2	21
21	3
3	21
21	57
57	21
21	26
26	21
11	76
76	11
11	42
42	11
25	77
77	25
25	78
78	25
25	27
27	25
25	56
56	25
25	26
26	25
25	24
24	25
25	31
31	25
25	79
79	25
25	23
23	25
80	74
74	80
65	6
6	65
65	49
49	65
65	50
50	65
65	48
48	65
65	10
10	65
65	76
76	65
65	81
81	65
65	11
11	65
65	71
71	65
82	83
83	82
82	9
9	82
82	6
6	82
82	84
84	82
82	85
85	82
82	86
86	82
82	87
87	82
66	88
88	66
66	69
69	66
66	89
89	66
66	58
58	66
66	90
90	66
66	76
76	66
66	91
91	66
66	7
7	66
30	92
92	30
30	93
93	30
4	94
94	4
4	30
30	4
4	61
61	4
4	75
75	4
87	95
95	87
87	96
96	87
87	5
5	87
87	97
97	87
98	40
40	98
98	99
99	98
98	100
100	98
98	101
101	98
98	102
102	98
98	103
103	98
98	7
7	98
98	84
84	98
49	50
50	49
46	101
101	46
46	102
102	46
46	37
37	46
46	104
104	46
46	12
12	46
46	45
45	46
46	105
105	46
46	14
14	46
46	36
36	46
46	106
106	46
46	69
69	46
46	32
32	46
46	107
107	46
88	15
15	88
88	108
108	88
88	39
39	88
88	8
8	88
88	18
18	88
69	109
109	69
69	41
41	69
69	110
110	69
69	16
16	69
69	99
99	69
69	81
81	69
69	79
79	69
61	29
29	61
61	59
59	61
61	60
60	61
61	58
58	61
105	111
111	105
105	36
36	105
105	112
112	105
105	30
30	105
105	17
17	105
105	38
38	105
105	34
34	105
105	91
91	105
91	113
113	91
91	41
41	91
91	99
99	91
91	68
68	91
91	70
70	91
91	109
109	91
91	7
7	91
91	89
89	91
91	16
16	91
91	114
114	91
13	75
75	13
13	115
115	13
13	29
29	13
13	61
61	13
13	59
59	13
13	60
60	13
13	33
33	13
13	58
58	13
13	62
62	13
13	116
116	13
117	110
110	117
117	47
47	117
117	118
118	117
117	19
19	117
117	119
119	117
117	102
102	117
117	72
72	117
117	100
100	117
117	40
40	117
117	101
101	117
117	36
36	117
60	120
120	60
60	33
33	60
60	59
59	60
60	58
58	60
121	115
115	121
121	122
122	121
96	81
81	96
96	48
48	96
96	121
121	96
96	123
123	96
96	122
122	96
123	124
124	123
123	85
85	123
123	93
93	123
123	121
121	123
123	116
116	123
123	125
125	123
123	126
126	123
93	50
50	93
93	75
75	93
93	127
127	93
93	128
128	93
53	51
51	53
53	15
15	53
53	84
84	53
53	30
30	53
53	93
93	53
53	52
52	53
52	129
129	52
52	88
88	52
52	103
103	52
52	19
19	52
52	93
93	52
52	30
30	52
52	126
126	52
52	86
86	52
42	9
9	42
42	10
10	42
42	6
6	42
42	76
76	42
42	50
50	42
42	49
49	42
104	130
130	104
104	17
17	104
104	65
65	104
104	38
38	104
104	105
105	104
104	14
14	104
104	15
15	104
104	66
66	104
131	132
132	131
131	49
49	131
131	117
117	131
131	88
88	131
131	18
18	131
131	39
39	131
15	133
133	15
15	18
18	15
15	8
8	15
15	131
131	15
58	134
134	58
58	33
33	58
58	8
8	58
135	104
104	135
135	76
76	135
135	109
109	135
135	52
52	135
135	136
136	135
135	82
82	135
135	85
85	135
135	114
114	135
135	84
84	135
135	97
97	135
135	87
87	135
45	131
131	45
45	20
20	45
45	47
47	45
45	38
38	45
45	104
104	45
45	61
61	45
45	37
37	45
45	12
12	45
45	17
17	45
45	32
32	45
103	137
137	103
103	112
112	103
103	40
40	103
103	47
47	103
103	119
119	103
70	138
138	70
70	136
136	70
70	18
18	70
70	99
99	70
70	7
7	70
70	69
69	70
70	66
66	70
70	109
109	70
40	139
139	40
40	119
119	40
109	140
140	109
109	117
117	109
109	89
89	109
109	18
18	109
109	16
16	109
109	64
64	109
9	11
11	9
9	10
10	9
141	14
14	141
141	65
65	141
141	142
142	141
141	143
143	141
141	77
77	141
141	122
122	141
141	144
144	141
141	123
123	141
141	145
145	141
141	48
48	141
141	96
96	141
122	60
60	122
122	49
49	122
122	97
97	122
122	145
145	122
136	18
18	136
136	146
146	136
136	8
8	136
136	15
15	136
136	131
131	136
136	88
88	136
136	39
39	136
136	65
65	136
77	42
42	77
77	76
76	77
77	147
147	77
77	96
96	77
77	122
122	77
77	123
123	77
77	92
92	77
17	40
40	17
17	14
14	17
17	51
51	17
17	38
38	17
38	112
112	38
38	148
148	38
38	12
12	38
128	149
149	128
128	17
17	128
128	3
3	128
128	71
71	128
128	30
30	128
128	92
92	128
128	52
52	128
128	53
53	128
128	56
56	128
150	30
30	150
151	98
98	151
151	152
152	151
151	23
23	151
151	87
87	151
151	1
1	151
151	16
16	151
151	49
49	151
151	76
76	151
151	5
5	151
151	64
64	151
153	58
58	153
153	134
134	153
153	41
41	153
153	53
53	153
153	93
93	153
153	52
52	153
153	128
128	153
153	154
154	153
153	30
30	153
153	34
34	153
29	4
4	29
29	145
145	29
29	75
75	29
29	62
62	29
29	59
59	29
29	60
60	29
29	33
33	29
29	58
58	29
29	109
109	29
155	145
145	155
3	59
59	3
3	119
119	3
3	75
75	3
3	57
57	3
3	4
4	3
3	74
74	3
59	156
156	59
59	157
157	59
59	33
33	59
59	58
58	59
89	158
158	89
89	7
7	89
89	16
16	89
7	159
159	7
7	64
64	7
7	69
69	7
147	48
48	147
125	11
11	125
125	160
160	125
125	48
48	125
125	9
9	125
125	76
76	125
125	65
65	125
125	49
49	125
125	73
73	125
8	100
100	8
8	18
18	8
8	131
131	8
145	9
9	145
145	49
49	145
145	123
123	145
145	121
121	145
142	91
91	142
142	144
144	142
142	122
122	142
142	116
116	142
142	23
23	142
142	79
79	142
142	151
151	142
142	89
89	142
142	1
1	142
142	5
5	142
142	45
45	142
71	161
161	71
71	125
125	71
71	81
81	71
71	121
121	71
71	11
11	71
71	42
42	71
71	49
49	71
71	6
6	71
71	9
9	71
71	101
101	71
107	125
125	107
107	126
126	107
107	82
82	107
107	144
144	107
107	123
123	107
107	10
10	107
107	122
122	107
107	96
96	107
107	77
77	107
107	121
121	107
107	145
145	107
107	141
141	107
63	112
112	63
63	31
31	63
63	136
136	63
63	93
93	63
63	30
30	63
63	128
128	63
63	154
154	63
63	92
92	63
63	43
43	63
63	19
19	63
63	153
153	63
19	162
162	19
19	39
39	19
19	88
88	19
19	53
53	19
19	153
153	19
19	43
43	19
26	23
23	26
26	61
61	26
26	63
63	26
26	27
27	26
26	79
79	26
26	78
78	26
26	31
31	26
56	163
163	56
56	60
60	56
56	31
31	56
56	20
20	56
56	164
164	56
56	27
27	56
56	23
23	56
56	26
26	56
56	13
13	56
144	6
6	144
144	165
165	144
144	145
145	144
144	77
77	144
144	121
121	144
144	116
116	144
144	76
76	144
144	122
122	144
144	37
37	144
97	99
99	97
97	82
82	97
97	166
166	97
97	50
50	97
97	85
85	97
97	102
102	97
78	3
3	78
116	160
160	116
116	9
9	116
116	48
48	116
116	77
77	116
116	145
145	116
116	122
122	116
116	121
121	116
116	96
96	116
116	70
70	116
110	5
5	110
110	112
112	110
110	102
102	110
110	119
119	110
110	72
72	110
110	98
98	110
110	100
