#id	cid
1	1
2	1
4	1
74	1
57	1
21	1
75	1
3	1
73	1
33	2
54	2
60	2
13	2
61	2
59	2
62	2
29	2
58	2
56	3
20	3
26	3
23	3
31	3
24	3
164	3
79	3
25	3
27	3
122	4
145	4
144	4
141	4
107	4
96	4
121	4
123	4
77	4
143	4
116	4
48	5
65	5
11	5
42	5
81	5
125	5
9	5
10	5
6	5
50	5
49	5
71	5
82	6
85	6
86	6
135	6
87	6
84	6
97	6
114	6
90	7
66	7
64	7
7	7
70	7
68	7
16	7
91	7
69	7
89	7
99	7
109	7
102	8
98	8
117	8
72	8
47	8
103	8
112	8
101	8
40	8
100	8
110	8
119	8
8	9
39	9
18	9
88	9
131	9
15	9
136	9
41	9
12	10
14	10
104	10
105	10
36	10
32	10
34	10
45	10
38	10
17	10
46	10
37	10
19	11
52	11
30	11
53	11
43	11
154	11
153	11
63	11
93	11
128	11
126	11
92	11
80	-1
173	-1
51	-1
147	-1
160	-1
134	-1
172	-1
156	-1
78	-1
28	-1
22	-1
120	-1
115	-1
118	-1
176	-1
157	-1
137	-1
139	-1
94	-1
148	-1
44	-1
175	-1
174	-1
111	-1
133	-1
127	-1
108	-1
132	-1
95	-1
155	-1
171	-1
150	-1
177	-1
106	-1
158	-1
167	-1
159	-1
55	-1
129	-1
166	-1
152	-1
180	-1
168	-1
83	-1
130	-1
169	-1
146	-1
162	-1
35	-1
170	-1
165	-1
124	-1
149	-1
179	-1
140	-1
67	-1
178	-1
161	-1
113	-1
138	-1
163	-1
5	0
142	0
76	0
151	0
